1743249632,426218272,0.0
1743249634,465657216,0.7366
1743249636,462786304,0.7593
1743249638,604818736,0.7866
1743249640,1032458856,0.7879
1743249642,669057632,0.8185
1743249644,692944360,0.7939
1743249647,1053311656,0.8113
1743249649,817582040,0.8111
1743249651,1070259968,0.8137
1743249653,586747840,0.8011
1743249655,634468816,0.7886
1743249657,894319760,0.7968
1743249660,337361280,0.7851
1743249662,874587808,0.7965
1743249664,1047972536,0.7795
1743249666,603771256,0.7785
1743249669,407550864,0.7716
1743249671,160230120,0.8008
1743249673,590482392,0.7821
1743249675,1055282808,0.7755
1743249678,966462176,0.7941
1743249680,717875360,0.7475
1743249682,646839040,0.7861
1743249684,623875176,0.7794
1743249686,358881448,0.8052
1743249688,1045357424,0.7907
1743249690,275535712,0.7656
