1743249753,1003365072,0.0
1743249755,281735176,0.7784
1743249757,342554136,0.7993
1743249758,243933960,0.7945
1743249760,199900288,0.7972
1743249762,281706864,0.7984
1743249764,220912168,0.7873
1743249766,198917048,0.7764
1743249767,377152552,0.7907
1743249769,424331888,0.777
1743249771,1002140960,0.7833
1743249773,259717424,0.8018
1743249775,220951600,0.7684
1743249777,354114304,0.7895
1743249778,197896568,0.7786
1743249780,246125432,0.7786
1743249782,317435520,0.7872
1743249784,644625480,0.7747
1743249786,852231752,0.7844
1743249788,281767040,0.7866
1743249790,295405360,0.7609
1743249791,173792880,0.7823
1743249793,234589744,0.7785
1743249795,282870560,0.7611
1743249797,291233392,0.7926
1743249799,482098312,0.7643
1743249801,459002680,0.7793
1743249802,411834080,0.7842
1743249804,200035856,0.7773
1743249806,305905792,0.7853
1743249808,702262944,0.7757
1743249810,364639328,0.7685
1743249812,198958432,0.7788
